,ID,Brand,Category,Category Raw,Gender,Name Raw,Price,Image Location,Name
26,26,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 29 ADICOLOR SLICED TREFOIL TRACK TOP.png,,Adidas/Mens Jackets/Adidas 29 ADICOLOR SLICED TREFOIL TRACK TOP.png,  Adicolor Sliced Trefoil Track Top
27,27,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 3 TERREX AGRAVIC PRO TRAIL RUNNING RAIN JACKET.png,,Adidas/Mens Jackets/Adidas 3 TERREX AGRAVIC PRO TRAIL RUNNING RAIN JACKET.png,  Terrex Agravic Pro Trail Running Rain Jacket
28,28,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 30 ADICOLOR SLICED TREFOIL TRACK TOP.png,,Adidas/Mens Jackets/Adidas 30 ADICOLOR SLICED TREFOIL TRACK TOP.png,  Adicolor Sliced Trefoil Track Top
29,29,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 31 COLORBLOCK JACKET.png,,Adidas/Mens Jackets/Adidas 31 COLORBLOCK JACKET.png,  Colorblock Jacket
30,30,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 32 SOFT SHELL JACKET.png,,Adidas/Mens Jackets/Adidas 32 SOFT SHELL JACKET.png,  Soft Shell Jacket
31,31,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 33 CNY JACKET.png,,Adidas/Mens Jackets/Adidas 33 CNY JACKET.png,  Cny Jacket
32,32,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 34 CNY DAME JACKET.png,,Adidas/Mens Jackets/Adidas 34 CNY DAME JACKET.png,  Cny Dame Jacket
33,33,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 35 D ROSE JACKET.png,,Adidas/Mens Jackets/Adidas 35 D ROSE JACKET.png,  D Rose Jacket
34,34,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 36 REAL MADRID CNY BOMBER JACKET.png,,Adidas/Mens Jackets/Adidas 36 REAL MADRID CNY BOMBER JACKET.png,  Real Madrid Cny Bomber Jacket
35,35,Adidas,Jackets & Coats,Mens Jackets,Mens,Adidas 37 JUVENTUS CNY BOMBER JACKET.png,,Adidas/Mens Jackets/Adidas 37 JUVENTUS CNY BOMBER JACKET.png,  Juventus Cny Bomber Jacket
