ID,Brand,Category,Gender,Name,Image URL
37,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Striped Wool Twill Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00964_CHARCOAL
38,Brooks Brothers,Suits,Men,Milano Fit Cotton Stretch Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01080_OLIVE
39,Brooks Brothers,Suits,Men,Regent Fit Pinstripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01004_NAVY
40,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Striped Wool Twill Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00951_CHARCOAL
41,Brooks Brothers,Suits,Men,Milano Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01075_GREY
42,Brooks Brothers,Suits,Men,Milano Fit Stripe Seersucker Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00988_BLUE
43,Brooks Brothers,Suits,Men,Regent Fit Double-Breasted Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01071_BLUE
44,Brooks Brothers,Suits,Men,BrooksGate™ Regent-Fit Windowpane Wool Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00954_MEDIUM-GREY
45,Brooks Brothers,Suits,Men,Milano Fit Two-Button 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01029_NAVY
46,Brooks Brothers,Suits,Men,Regent Fit Two-Button Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01054_NAVY
47,Brooks Brothers,Suits,Men,Regent Fit Grey 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00894_GREY
48,Brooks Brothers,Suits,Men,Milano Fit Pinstripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01005_NAVY
49,Brooks Brothers,Suits,Men,Regent Fit BrooksCool® Pinstripe Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01065_BLUE
50,Brooks Brothers,Suits,Men,Regent Fit Three-Button Houndstooth 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01049_GREY
51,Brooks Brothers,Suits,Men,Milano Fit Glen Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01003_NAVY
52,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Wool Twill Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00947_CHARCOAL
53,Brooks Brothers,Suits,Men,Madison Fit Stretch Wool Two-Button 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00782_CHARCOAL
54,Brooks Brothers,Suits,Men,Milano Fit Pinstripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01024_CHARCOAL
55,Brooks Brothers,Suits,Men,Regent Fit Three-Button 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01050_BLACK
56,Brooks Brothers,Suits,Men,Regent Fit BrooksCool® Subtle Plaid Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01064_BLUE
57,Brooks Brothers,Suits,Men,Regent Fit Multi-Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00995_DARK-GREY
58,Brooks Brothers,Suits,Men,Madison Fit Stripe Seersucker Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00777_BLUE-IVORY
59,Brooks Brothers,Suits,Men,Madison Fit Two-Button Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01041_GREY
60,Brooks Brothers,Suits,Men,Big & Tall Stretch Wool Two-Button 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/XK00001_CHARCOAL
61,Brooks Brothers,Suits,Men,Regent Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00997_DARK-BLUE
62,Brooks Brothers,Suits,Men,Regent Fit Three-Button Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01046_NAVY
