,ID,Brand,Category,Gender,Name,Image URL,Price
0,0.0,Brooks Brothers,Trousers,Men,Clark Fit Seersucker Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00604_NAVY,0
1,1.0,Brooks Brothers,Trousers,Men,Clark Fit Linen and Cotton Chino Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00527_BORDEAUX,0
2,2.0,Brooks Brothers,Trousers,Men,Clark Fit Stripe Seersucker Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00598_BLUE-WHITE,0
3,3.0,Brooks Brothers,Trousers,Men,Clark Fit Stretch Advantage Chino® Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00510_STONE,0
4,4.0,Brooks Brothers,Trousers,Men,Clark Fit Supima® Cotton Stretch Chinos,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00512_BRICK,0
5,5.0,Brooks Brothers,Trousers,Men,Milano Fit Lightweight Stretch Advantage Chino® Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00509_PROVINCIAL-BLUE,0
6,6.0,Brooks Brothers,Trousers,Men,Clark Fit Supima® Cotton Poplin Stretch Chino Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00504_WHITE,0
7,7.0,Brooks Brothers,Trousers,Men,Clark Fit Garment-Dyed Stretch Chino Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00601_PALE-BLUE,0
8,8.0,Brooks Brothers,Trousers,Men,Clark-Fit Washed Stretch-Cotton Chino Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/DR00036_BLUE,0
9,9.0,Brooks Brothers,Trousers,Men,Clark Fit Lightweight Stretch Advantage Chino® Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00511_KHAKI,0
10,10.0,Brooks Brothers,Trousers,Men,Elliot Fit Pleat-Front Advantage Chino® Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/DR00035_GREY,0
11,11.0,Brooks Brothers,Trousers,Men,Joggers,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00615_NAVY,0
12,12.0,Brooks Brothers,Trousers,Men,Clark Fit Dobby Dot Stretch Advantage Chino® Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00608_GREY,0
13,13.0,Brooks Brothers,Trousers,Men,Premium Jeans,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00569_STONE,0
14,14.0,Brooks Brothers,Trousers,Men,Elliot Fit Pleat-Front Lightweight Advantage Chino® Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/DR00032_STONE,0
15,15.0,Brooks Brothers,Trousers,Men,Milano Fit Garment-Dyed Stretch Chino Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00600_PALE-BLUE,0
16,16.0,Brooks Brothers,Trousers,Men,Slim Garment-Dyed Cotton-Linen Stretch Chinos,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/RR00105_BLUE,0
17,17.0,Brooks Brothers,Trousers,Men,Garment-Dyed Five-Pocket Jeans,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/RR00162_BROWN,0
18,18.0,Brooks Brothers,Trousers,Men,Garment-Dyed Cotton-Linen Stretch Chinos,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/RR00102_BLUE,0
19,19.0,Brooks Brothers,Trousers,Men,Clark Fit Piece-Dyed Supima® Cotton Stretch Chinos,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00486_OATMEAL,0
20,20.0,Brooks Brothers,Trousers,Men,Soho Fit Linen and Cotton Chino Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00599_OATMEAL,0
21,21.0,Brooks Brothers,Trousers,Men,Milano Fit Linen and Cotton Chino Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00526_BORDEAUX,0
22,22.0,Brooks Brothers,Trousers,Men,Soho Fit Stretch Advantage Chino® Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00566_BRITISH-KHAKI,0
23,23.0,Brooks Brothers,Trousers,Men,Soho Fit Garment-Dyed Stretch Chino Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MR00602_OLIVE,0
24,0.0,Brooks Brothers,Shorts,Mens,Madras Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00252_BLUE-MULTI,0
25,1.0,Brooks Brothers,Shorts,Mens,"Embroidered Washed Chino 10"" Bermuda Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/DY00015_MULTI,0
26,2.0,Brooks Brothers,Shorts,Mens,Seersucker Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00251_LIGHT-BLUE-HEATHER,0
27,3.0,Brooks Brothers,Shorts,Mens,"Washed Chino 10"" Bermuda Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/DY00014_LIGHT-YELLOW,0
28,4.0,Brooks Brothers,Shorts,Mens,Flat Front Stretch Advantage Chino® Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00191_DARK-KHAKI,0
29,5.0,Brooks Brothers,Shorts,Mens,Drawstring Sweatshorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00257_DARK-GREEN,0
30,6.0,Brooks Brothers,Shorts,Mens,"Stretch Garment-Dyed 10"" Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00254_BRICK,0
