ID,Brand,Category,Gender,Name,Image URL,Price
15.0,Brooks Brothers,Shorts,Men,Big & Tall Pleat Front Stretch Advantage Chino® Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/XY00002_GREY,
16.0,Brooks Brothers,Shorts,Men,"10"" Indigo Dobby Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00238_NAVY,
17.0,Brooks Brothers,Shorts,Men,"10"" Indigo Broken Twiil Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00239_NAVY,
18.0,Brooks Brothers,Shorts,Men,"Cotton-Linen 9"" Chino Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/RY00098_ROSE,
19.0,Brooks Brothers,Shorts,Men,Nautical Print Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00210_OATMEAL,
20.0,Brooks Brothers,Shorts,Men,Paisley Print Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00219_NAVY,
21.0,Brooks Brothers,Shorts,Men,Linen and Cotton Fun Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00208_MULTI,
22.0,Brooks Brothers,Shorts,Men,"Cotton-Linen 7"" Chino Shorts",https://brooksbrothers.scene7.com/is/image/BrooksBrothers/RY00099_OLIVE,
23.0,Brooks Brothers,Shorts,Men,Houndstooth Cotton and Linen Bermuda Shorts,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MY00170_WHITE,
0.0,Brooks Brothers,Suits,Men,Regent Fit Three-Piece Linen Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01072_NAVY,
1.0,Brooks Brothers,Suits,Men,Regent Fit Two-Button Grey Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01040_GREY,
2.0,Brooks Brothers,Suits,Men,Milano Fit Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01073_BEIGE,
3.0,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Windowpane Wool Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00955_MEDIUM-GREY,
4.0,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Windowpane Wool Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00968_MEDIUM-GREY,
5.0,Brooks Brothers,Suits,Men,Milano Fit BrooksCool® Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00745_CHARCOAL,
6.0,Brooks Brothers,Suits,Men,Regent Fit Sharkskin 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00796_BLUE,
7.0,Brooks Brothers,Suits,Men,Milano Fit Combo Check 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01077_BLUE,
8.0,Brooks Brothers,Suits,Men,Madison Fit Three-Button Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01048_NAVY,
9.0,Brooks Brothers,Suits,Men,Regent Fit Stripe Seersucker Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00755_BLUE-IVORY,
10.0,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Wool Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00945_BLACK,
11.0,Brooks Brothers,Suits,Men,BrooksGate™ Regent-Fit Wool Twill Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00946_BLUE,
12.0,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Wool Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00958_BLACK,
13.0,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Windowpane Wool Twill Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00966_BLUE,
14.0,Brooks Brothers,Suits,Men,Regent Fit Three-Piece Irish Linen Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00980_WHITE,
15.0,Brooks Brothers,Suits,Men,BrooksGate™ Regent-Fit Wool Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00944_NAVY,
16.0,Brooks Brothers,Suits,Men,Regent Fit Stretch Wool Two-Button 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00781_NAVY,
17.0,Brooks Brothers,Suits,Men,Regent Fit Cotton Stretch Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01070_OLIVE,
18.0,Brooks Brothers,Suits,Men,BrooksGate™ Regent-Fit Bead-Stripe Wool Twill Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00962_NAVY,
19.0,Brooks Brothers,Suits,Men,BrooksGate™ Regent-Fit Striped Wool Twill Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00961_CHARCOAL,
20.0,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Bead-Stripe Wool Twill Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00965_NAVY,
21.0,Brooks Brothers,Suits,Men,Regent Fit Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01069_BEIGE,
22.0,Brooks Brothers,Suits,Men,BrooksGate™ Regent-Fit Wool Twill Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00959_BLUE,
23.0,Brooks Brothers,Suits,Men,Madison Fit Tic 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00832_GREY,
24.0,Brooks Brothers,Suits,Men,BrooksGate™ Regent-Fit Bead-Stripe Twill Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00949_NAVY,
25.0,Brooks Brothers,Suits,Men,BrooksGate™ Regent-Fit Windowpane Wool Twill Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00963_BLUE,
26.0,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Wool Twill Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00960_CHARCOAL,
27.0,Brooks Brothers,Suits,Men,BrooksGate™ Regent-Fit Striped Wool Twill Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00948_CHARCOAL,
28.0,Brooks Brothers,Suits,Men,Regent Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01035_CHARCOAL,
29.0,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Bead-Stripe Twill Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00952_NAVY,
30.0,Brooks Brothers,Suits,Men,Madison Fit Cotton Stretch Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01079_KHAKI,
31.0,Brooks Brothers,Suits,Men,Regent Fit BrooksCool® Subtle Plaid Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01063_NAVY,
32.0,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Windowpane Wool Twill Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00953_BLUE,
33.0,Brooks Brothers,Suits,Men,BrooksGate™ Regent-Fit Windowpane Wool Twill Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00950_BLUE,
34.0,Brooks Brothers,Suits,Men,BrooksGate™ Regent-Fit Wool Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00956_NAVY,
35.0,Brooks Brothers,Suits,Men,Regent Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01067_GREY,
36.0,Brooks Brothers,Suits,Men,Regent Fit Open Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00883_BLUE,
37.0,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Striped Wool Twill Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00964_CHARCOAL,
38.0,Brooks Brothers,Suits,Men,Milano Fit Cotton Stretch Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01080_OLIVE,
39.0,Brooks Brothers,Suits,Men,Regent Fit Pinstripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01004_NAVY,
40.0,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Striped Wool Twill Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00951_CHARCOAL,
41.0,Brooks Brothers,Suits,Men,Milano Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01075_GREY,
42.0,Brooks Brothers,Suits,Men,Milano Fit Stripe Seersucker Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00988_BLUE,
43.0,Brooks Brothers,Suits,Men,Regent Fit Double-Breasted Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01071_BLUE,
44.0,Brooks Brothers,Suits,Men,BrooksGate™ Regent-Fit Windowpane Wool Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00954_MEDIUM-GREY,
45.0,Brooks Brothers,Suits,Men,Milano Fit Two-Button 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01029_NAVY,
46.0,Brooks Brothers,Suits,Men,Regent Fit Two-Button Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01054_NAVY,
47.0,Brooks Brothers,Suits,Men,Regent Fit Grey 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00894_GREY,
48.0,Brooks Brothers,Suits,Men,Milano Fit Pinstripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01005_NAVY,
49.0,Brooks Brothers,Suits,Men,Regent Fit BrooksCool® Pinstripe Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01065_BLUE,
50.0,Brooks Brothers,Suits,Men,Regent Fit Three-Button Houndstooth 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01049_GREY,
51.0,Brooks Brothers,Suits,Men,Milano Fit Glen Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01003_NAVY,
52.0,Brooks Brothers,Suits,Men,BrooksGate™ Milano-Fit Wool Twill Suit Jacket,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00947_CHARCOAL,
53.0,Brooks Brothers,Suits,Men,Madison Fit Stretch Wool Two-Button 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00782_CHARCOAL,
54.0,Brooks Brothers,Suits,Men,Milano Fit Pinstripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01024_CHARCOAL,
55.0,Brooks Brothers,Suits,Men,Regent Fit Three-Button 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01050_BLACK,
