Brand,Category,Name,Price,Image URL,ID,Gender
Fred Perry,Polo Shirts,Poloshirt mit Punkten,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/f9ecb1a00efaafc7f6b786be52e6234b/M/1/M1537_608_1.JPG,28.0,Male
Fred Perry,Polo Shirts,Poloshirt mit abstrakten Streifen,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/f0c0d33f6a13027d700bf120e4cb661f/M/1/M1618_102_1.JPG,29.0,Male
Fred Perry,Polo Shirts,Poloshirt mit abstrakten Streifen,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/4df109f8205e998a15935aecab8cae0e/M/1/M1618_608_1.JPG,30.0,Male
Fred Perry,Polo Shirts,Poloshirt mit abstrakten Streifen,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/bd9884d2c8a5ee25335f16b432c652d4/M/1/M1618_129_1.JPG,31.0,Male
Fred Perry,Polo Shirts,Poloshirt mit Ton-in-Ton-Streifen,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/f2c198dfb5d9e2f34a865dea90fe6d26/M/1/M1610_799_1.JPG,32.0,Male
Fred Perry,Polo Shirts,Poloshirt mit Ton-in-Ton-Streifen,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/8e17bc674faec94df3d053a34e91a75c/M/1/M1610_129_1.JPG,33.0,Male
Fred Perry,Polo Shirts,Poloshirt mit Bomberjacken-Kragen,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/ea818202471333172d07a9e9c7fd0d1d/M/4/M4526_799_1.JPG,34.0,Male
Fred Perry,Polo Shirts,Poloshirt mit Space-Dye-Effekt,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/17567140ead454bbe876536d3c5827f5/M/1/M1805_102_1.JPG,35.0,Male
Fred Perry,Polo Shirts,Poloshirt mit Lorbeerkranz-Print,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/ea788a3b8c00508e6744ae5ee75a4769/S/M/SM1930-R_100_1.JPG,36.0,Male
Fred Perry,Polo Shirts,M3636,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/63c9e44a130ac60757198c01f4f1bc3e/M/3/M3636_799_1.JPG,37.0,Male
Fred Perry,Polo Shirts,M3636,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/35dc48d25cfc7fc614965cfc40617bca/M/3/M3636_608_1.JPG,38.0,Male
Fred Perry,Polo Shirts,M3636,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/5332162819cc782f2a913b3ae1fe1cbb/M/3/M3636_102_1.JPG,39.0,Male
Fred Perry,Polo Shirts,Poloshirt mit Bomberjacken-Ausschnitt,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/53da58da0f42d10cad44fe22f0cb5120/M/4/M4526_408_1.JPG,40.0,Male
Fred Perry,Polo Shirts,Poloshirt mit Bomberjacken-Ausschnitt,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/4635cc8f096cd009bf1b47a6f7750d2e/M/4/M4526_248_1.JPG,41.0,Male
Fred Perry,Polo Shirts,Poloshirt mit Bomberjacken-Ausschnitt,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/47547880807b6e2881fe54f949bd43ab/M/4/M4526_102_1.JPG,42.0,Male
Fred Perry,Polo Shirts,Made In England M2,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/17567140ead454bbe876536d3c5827f5/M/2/M2_157_1.JPG,43.0,Male
Fred Perry,Polo Shirts,Made In England M2,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/fffd7d8e9e094ad27b4fcc7f149fef11/M/2/M2_797_1.JPG,44.0,Male
Fred Perry,Polo Shirts,Poloshirt mit gestreiftem Henley-Kragen,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/ca1c0142949aeedba660c351fa863ab7/M/1/M1604_608_1.JPG,45.0,Male
Fred Perry,Polo Shirts,Leuchtendes Poloshirt,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/678f296eab3e2b654bfb408e586ae6e7/M/1/M102_L19_1.JPG,46.0,Male
Fred Perry,Polo Shirts,Leuchtendes Poloshirt,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/19a90c2ed26ef1a0b4429e9086951c4f/M/1/M102_E75_1.JPG,47.0,Male
Fred Perry,Polo Shirts,Leuchtendes Poloshirt,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/19a90c2ed26ef1a0b4429e9086951c4f/M/1/M102_I52_1.JPG,48.0,Male
Fred Perry,Polo Shirts,Leuchtendes Poloshirt,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/6297981f3d6b2eb07238dbd750af0ce0/M/1/M102_189_1.JPG,49.0,Male
Fred Perry,Polo Shirts,Leuchtendes Poloshirt,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/19a90c2ed26ef1a0b4429e9086951c4f/M/1/M102_200_1.JPG,50.0,Male
Fred Perry,Polo Shirts,Leuchtendes Poloshirt,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/678f296eab3e2b654bfb408e586ae6e7/M/1/M102_K68_1.JPG,51.0,Male
Fred Perry,Polo Shirts,Piqué-Poloshirt mit Bomberjackenkragen,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/9c1aa9d4e853be148fc62aee196ded24/M/4/M4526_275_1.JPG,52.0,Male
Fred Perry,Polo Shirts,Piqué-Poloshirt mit Bomberjackenkragen,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/44a07ca6e271bb16e58e920b64ee4fde/M/4/M4526_M37_1.JPG,53.0,Male
Fred Perry,Polo Shirts,Poloshirt aus Frottee,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/51f56d8fcedb0d06cb4d7796599fdd35/M/1/M1690_608_1.JPG,54.0,Male
Fred Perry,Polo Shirts,Poloshirt aus Frottee,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/f336375894bba56e4b60c62cd8983c66/M/1/M1690_129_1.JPG,55.0,Male
Fred Perry,Polo Shirts,Poloshirt mit Button-down-Kragen,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/7841dd27d085d5cbc0170b2c8473def4/M/1/M1627_M33_1.JPG,56.0,Male
Fred Perry,Polo Shirts,Strickhemd mit abstraktem Karomuster,£70,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/8d9b6799fc51e5a046f56fc9006cb334/K/1/K1539_608_1.JPG,57.0,Male
